,SEAT_COUNT,BOARD_TYPE,SCREEN_SIZE,INPUTS,TECH_TYPE,CLASSROOM_TYPE,COMPUTER_LAB,CPT,LAST_REFRESH,CAMERA_TYPE,PODIUM_TYPE,COMPUTER,CAMERA_MIC,DISPLAY_TYPE,DISLAY_COUNT,EQUIP_LOC,ADDITIONAL_ROOM_SPECS,LCR_COST,ROOM_ID,ROOM_NAME,BUILDING_NAME
0,78,"Chalkboard - Small, Chalkboard - Large",6-foot,"HDMI, VGA",Dual Display,Classroom/Lab,None,II,2014,Document,Smart,PC,False,Data Projector,1,None,None,20000,4717,SB110,Science Building
1,,Whiteboard - Large,8-foot,"VGA, Audio - Line",Single Display,Classroom/Lab,,II,2009,,Smart,PC,False,Data Projector,1,None,Windows,20000,4728,HC270,Hoogenboom Center
2,,Whiteboard - Large,10-foot,"HDMI, VGA, Audio - Line, Audio - Mic",Single Display,Classroom/Lab,,II,2017,,Smart,PC,False,Data Projector,1,None,Windows,20000,4729,HC280,Hoogenboom Center
3,,Whiteboard - Large,7-foot,VGA,Single Display,Classroom/Lab,,II,2009,Document,Smart,PC,False,,0,None,Windows,20000,4730,HC251,Hoogenboom Center
4,42,Whiteboard - Large,8-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2016,None,"Desktop, Smart",None,False,Data Projector,1,None,"Piano, Windows",20000,4731,CF222,CFAC
5,36,"Whiteboard - Large, Whiteboard - Small",8-foot,"HDMI, Audio - Line",Single Display,Classroom/Lab,None,II,2016,None,"Basic, Desktop, Smart",None,False,Data Projector,1,None,None,20000,4732,CF227,CFAC
6,23,"Whiteboard - Large, Whiteboard - Small",6-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,None,"Desktop, Smart",None,False,Data Projector,1,None,None,20000,4733,CF229,CFAC
7,24,"Whiteboard - Large, Whiteboard - Small",6-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2016,None,"Desktop, Smart",None,False,Data Projector,1,None,None,20000,4734,CF230,CFAC
8,24,Whiteboard - Large,7-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,None,None,None,False,Data Projector,1,None,"Piano, Windows",20000,4735,CF251,CFAC
9,42,Whiteboard - Large,7-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,None,Desktop,None,False,Data Projector,1,None,"Piano, Windows",20000,4736,CF252,CFAC
10,42,Whiteboard - Small,7-foot,"HDMI, Audio - Line",Single Display,Classroom/Lab,None,II,2016,None,"Desktop, Smart",None,False,Data Projector,1,None,None,20000,4737,CF255,CFAC
11,20,Whiteboard - Large,7-foot,"HDMI, Audio - Line",Single Display,Classroom/Lab,None,II,2016,None,Smart,None,False,Data Projector,1,None,Windows,20000,4738,CF263,CFAC
12,44,Whiteboard - Large,7-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2016,None,"Desktop, Smart",None,False,Data Projector,1,None,None,20000,4739,CF264,CFAC
13,145,Chalkboard - Small,10-foot,"CD Player, HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2022,None,None,None,False,Data Projector,1,None,Piano,20000,4740,CF135,CFAC
14,84,Whiteboard - Large,7-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2021,None,Smart,None,False,Data Projector,1,None,None,20000,4741,CF125,CFAC
15,96,"Chalkboard - Small, Whiteboard - Small",10-foot,"HDMI, VGA, Audio - Line, Wireless Projection",Single Display,Classroom/Lab,None,II,2022,None,None,None,False,Data Projector,1,None,Piano,20000,4742,CF115,CFAC
16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,4743,Undercroft,Chapel
17,None,Chalkboard - Small,8-foot,HDMI,Single Display,Classroom/Lab,None,II,2006,Document,Smart,PC,None,Data Projector,1,None,Piano,20000.00,4744,CP214,Chapel
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,4745,CA104,Commons Annex
19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,4746,CA206,Commons Annex
20,30,Whiteboard - Large,8-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2016,Document,Smart,PC,None,Data Projector,1,None,Windows,20000,4747,DC120,DeVos
21,29,Whiteboard - Large,8-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,Document,Smart,Mac,None,Data Projector,1,None,Windows,20000,4748,DC130,DeVos
22,38,Whiteboard - Large,8-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2016,Document,None,PC,None,Data Projector,1,None,Windows,20000,4749,DC140,DeVos
23,None,Whiteboard - Large,8-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,Document,"Basic, Smart",PC,None,Data Projector,1,None,Windows,20000,4750,DC150,DeVos
24,40,Whiteboard - Large,8-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,Document,Desktop,PC,None,Data Projector,1,None,Windows,20000,4751,DC160,DeVos
25,40,Whiteboard - Large,8-foot,"HDMI, VGA",Single Display,Classroom/Lab,None,II,2016,Document,Desktop,PC,None,Data Projector,1,None,Windows,20000,4752,DC170,DeVos
26,32,Whiteboard - Large,Large Format,"HDMI, Wireless Projection",Conferencing/Capture,Classroom/Lab,None,II,2022,PTZ,None,None,True,Data Projector,1,None,Windows,15000,4753,BU208,Business Building
27,20,Whiteboard - Large,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,II,2022,PTZ,None,None,True,Flat Screen,1,None,Windows,20000,4754,BU204,Business Building
28,50,Whiteboard - Large,Large Format,"HDMI, Wireless Projection",Conferencing/Capture,Classroom/Lab,None,II,2022,PTZ,None,None,True,Data Projector,2,None,Windows,20000,4755,BU203,Business Building
29,36,Whiteboard - Large,Large Format,"HDMI, Wireless Projection",Conferencing/Capture,Classroom/Lab,None,II,2022,PTZ,None,None,True,Data Projector,1,None,Windows,20000,4756,BU110,Business Building
30,50,Whiteboard - Large,Large Format,"HDMI, Wireless Projection",Conferencing/Capture,Classroom/Lab,None,II,2022,PTZ,None,None,True,Data Projector,2,None,Windows,20000,4757,BU103,Business Building
31,24,Whiteboard - Large,6-foot,VGA,Single Display,Classroom/Lab,None,II,2010,Document,None,PC,False,Data Projector,1,None,None,20000,4758,DH106,DeVries Hall
32,24,Whiteboard - Large,6-foot,VGA,Single Display,Classroom/Lab,PC,II,2010,Document,None,None,False,Data Projector,1,None,None,20000,4759,DH112,DeVries Hall
33,24,Whiteboard - Large,6-foot,HDMI,Single Display,Classroom/Lab,None,II,2010,Document,None,PC,False,Data Projector,1,None,None,20000,4760,DH132,DeVries Hall
